text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,incidentClass,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerIn.firstName,playerIn.lastName,playerName,reason,rescinded
FT,1.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,1.0,substitution,121896241.0,False,1.0,Yasha Gu,yasha-gu,Y. Gu,M,2.0,38468.0,Wu Chengshu,,,wu-chengshu,W. Chengshu,M,10.0,1172565.0,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,,89,,goal,170466231.0,True,2.0,,,,,,,,,,,,,,,,regular,Amalie Jørgensen Vangsgaard,,,amalie-jorgensen-vangsgaard,A. J. Vangsgaard,F,71.0,1136176.0,Pernille Harder,pernille-harder,P. Harder,F,1025.0,91248.0,,,,,
,,,,85,,substitution,121896209.0,True,6.0,Amalie Jørgensen Vangsgaard,amalie-jorgensen-vangsgaard,A. J. Vangsgaard,F,71.0,1136176.0,Janni Thomsen,,,janni-thomsen,J. Thomsen,M,38.0,973956.0,,,,,,,,,,,,,,,,,,,,,
,,,,85,,substitution,121896210.0,False,6.0,Chen Gao,chen-gao,C. Gao,D,1.0,845591.0,Li Mengwen,,,li-mengwen,L. Mengwen,D,35.0,1004570.0,,,,,,,,,,,,,,,,,,,,,
,,,,78,,substitution,121896189.0,False,13.0,Mengyu Shen,shen-mengyu,M. Shen,M,46.0,944516.0,Jiahui Lou,,,jiahui-lou,J. Lou,D,1.0,38464.0,,,,,,,,,,,,,,,,,,,,,
,,,,72,,substitution,121896159.0,True,19.0,Rikke Madsen,madsen-rikke,R. Madsen,F,43.0,973952.0,Nicoline Sørensen,,,nicoline-sorensen,N. Sørensen,F,53.0,282377.0,,,,,,,,,,,,,,,,,,,,,
,,,,62,,substitution,121896109.0,True,29.0,Signe Bruun,signe-bruun,S. Bruun,F,220.0,343255.0,Kathrine Møller Kühl,,,kathrine-moller-kuhl,K. M. Kühl,M,155.0,1113614.0,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,121896063.0,False,45.0,Wang Shuang,wang-shuang,W. Shuang,F,104.0,256433.0,Zhang Xin,,,zhang-xin,Z. Xin,M,2.0,796649.0,,,,,,,,,,,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
,,,,40,,card,120826342.0,True,6.0,,,,,,,,,,,,,,,,yellow,Rikke Sevecke,,,sevecke-rikke,R. Sevecke,D,83.0,793179.0,,,,,,,,,Rikke Sevecke,Foul,False
